id,similarity_blank,similarity_full,similarity_naive,similarity_triplets,similarity_retriever
0,0.8527990760520254,0.9741636417036732,0.9226108907121827,0.9303101971343035,0.9242057148906232
1,0.901291826919576,0.9740028968947287,0.9581630285060583,0.9568787349439487,0.9123862993797108
2,0.8657143024575605,0.9399600738198202,0.9518662061211184,0.8916941376229836,0.8884087299224812
3,0.8576298623504441,0.9214770405388644,0.9171508072035616,0.9228157635770886,0.8602679918738559
4,0.9651300251879684,0.9769457868004725,0.9861668484021683,0.9547513498879545,0.9215204595377443
5,0.8492159311534632,0.9474076319649136,0.954407879203475,0.9330629161635826,0.9215204595377443
6,0.8442156760500116,0.9577048069030207,0.9577048069030207,0.9580785154251017,1.0
7,0.8373151303806621,0.8994544657160667,0.8519620481576637,0.8894109877804321,0.8659457046095014
8,0.850829195484817,0.9294786851246878,0.9274216642969559,0.9530682967576549,0.8700429741144374
9,0.8413002996527932,0.9177704989411062,0.925761477908766,0.8547648874595047,0.8993402116980198
10,0.8814938591544167,0.9264496115928572,0.9346407855109434,0.9197799104780786,0.8945817772970226
11,0.8824890907300331,0.9361718576276289,0.9354059483074068,0.9141249580342855,0.9169935551549606
12,0.8711579736809473,0.9393342944016924,0.9141708675463796,0.9206295529491972,0.9218753015773935
13,0.8810665892892477,0.9371559973176566,0.9211678489958782,0.8963051107867499,0.906136596446007
14,0.9010261336420278,0.9383613495826059,0.9230865837537022,0.9036409707980981,0.9262641366036106
15,0.8664572309742549,0.8858868930621718,0.8852178924123582,0.8942795243050486,0.8853079386975699
16,0.9426492777288354,0.9470267814510198,0.9418600443459393,0.9293867893855925,0.9056655182114196
17,0.8393947467634785,0.909455060830211,0.9122066949647757,0.8489237844177194,0.9056655182114196
18,0.8912914899710045,0.9500215391247038,0.9430824096287371,0.9109912123820577,0.9307404461914884
19,0.9168579383597805,0.9303581090164863,0.9228463662605653,0.9003321412708998,0.9307404461914884
20,0.9228300723142969,0.9572095508460879,0.9521834731069897,0.9463129369837755,0.9270319864613411
21,0.9034406624876432,0.9464499748312866,0.9357523313833103,0.9280788482806812,0.9270319864613411
22,0.9127331023066683,0.9294026078005696,0.9358362007614609,0.9076808354497001,0.8774854575829488
23,0.850267632650429,0.8974979788768044,0.8884317766682738,0.883980428603505,0.8535145812611664
24,0.938101656850111,0.9558188432047694,0.9604441054628559,0.9444810753783183,0.9410371882428871
25,0.8984138021892177,0.9196301376096089,0.9259807699494523,0.9106375942964846,0.9410371882428871
26,0.9264205314136053,0.9690805726668508,0.9629588456507887,0.976417714200525,0.9339954546301766
27,0.9119742979976434,0.9536210620862291,0.9339558619975179,0.9368488430254738,0.9339954546301766
28,0.9241389517248793,0.9391120801617837,0.9649152885719683,0.9681452640512942,0.8915896021695048
29,0.864004419704149,0.9329092300696276,0.9513449283843506,0.948569531430129,0.8915896021695048
30,0.9417385730120005,0.9630006733542719,0.9501778879024656,0.9520423073898491,0.9342729678980307
31,0.8957400942163629,0.9631063865149175,0.951474965643924,0.9333950941893757,0.9342729678980307
32,0.9158130567083592,0.9498213730364777,0.9473420694920939,0.9137619042093997,0.9147180823893466
33,0.8769287818716546,0.9353624828225736,0.8998434526025334,0.9217048498617247,0.9099955407751912
34,0.8096731646371735,0.8810056176418049,0.9022374005913988,0.8693858900508715,0.9118590560504184
35,0.8543438803259792,0.9510118680310086,0.929403302595443,0.9082632523370727,0.8797645887566368
36,0.8352008225670894,0.9332190095534048,0.9407544645635044,0.879629424902871,0.9096928139550451
37,0.8293557662005145,0.9352481976026099,0.9177104617094867,0.9353385665014738,0.8602054159582779
38,0.8432812443747129,0.9840648590948908,0.9859608386692708,0.8892556413961048,0.9145167761848085
39,0.8863092985109611,0.8970066618553576,0.9215760722855689,0.945838850634048,0.8464279581249651
40,0.8168712655062035,0.8977223270684913,0.8704264481779297,0.8586348551672333,0.896539200421299
41,0.8051472654390586,0.8764310307361989,0.8830145674153166,0.8425447297173817,0.896539200421299
42,0.8180021193095607,0.8457063597064194,0.8615356702325316,0.84295101772993,0.8661860855535619
43,0.7987578596765559,0.8626957996351512,0.8484214895110597,0.8481723159554728,0.8596099089326631
44,0.8704134068651107,0.8694081909162414,0.8639133708008434,0.8924575639449654,0.904366970069064
45,0.8415739837687267,0.9137310506754558,0.9125571146013344,0.8817728403009184,0.904366970069064
46,0.860104583515752,0.9012301613798638,0.9173992404277787,0.8840251170561593,0.9039599707745395
47,0.900892766193576,0.9122708639480581,0.9266087880573545,0.9134373465669836,0.9167043828713045
48,0.9076782539118023,0.9409140908343975,0.9357394067927874,0.9075805781175628,0.9097455993870506
49,0.8750245342568451,0.9020592808236381,0.9023124026597491,0.8863976391307975,0.9097455993870506
50,0.839640667115145,0.9041693030916675,0.8943567970489819,0.8939028862735601,0.8926131978592361
